words_typed,intelligibility_rating,audio,condition,cutoff,content,trial_index,fullcond,suj_id,scores,TSRatios,cond_names,colors
judges,2,filter_23_Inf_frm01_s08.wav,Temporal,23,Joe books very few judges,70,Temporal_23,10,4.0,39,T 23,royalblue
#,1,filter_Inf_1.2_frm01_s16.wav,Spectral,1.2,Jeff thought you argued in favor of a centrifuge purchase,73,Spectral_1.2,10,0.0,0,S 1.2,forestgreen
superb,1,filter_20_Inf_frm01_s12.wav,Temporal,20,A boring novel is a superb sleeping pill,76,Temporal_20,10,2.5,26,T 20,cornflowerblue
#,1,filter_4_Inf_1_54.wav,Anchor_Temporal_unIntelligible,4,They married in 1965,79,Anchor_Temporal_unIntelligible_4,10,0.0,0,T 4,lightsteelblue
big brother,2,filter_23_Inf_frm01_s20.wav,Temporal,23,The frightened child was gently subdued by his big brother,82,Temporal_23,10,3.4482758620689653,32,T 23,royalblue
all year,2,filter_Inf_1.5_frm01_s10.wav,Spectral,1.5,She had your dark suit in greasy wash water all year,85,Spectral_1.5,10,3.8461538461538463,27,S 1.5,darkgreen
#,1,filter_4_Inf_6_22.wav,Anchor_Temporal_unIntelligible,4,Another bites the dust,88,Anchor_Temporal_unIntelligible_4,10,0.0,0,T 4,lightsteelblue
#,1,filter_Inf_1.2_frm01_s04.wav,Spectral,1.2,A fifth wheel caught speeding,91,Spectral_1.2,10,0.0,0,S 1.2,forestgreen
They exchanged gifts.,4,filter_Inf_0.4_1_65.wav,Anchor_Spectral_unIntelligible,0.4,They exchanged gifts,94,Anchor_Spectral_unIntelligible_0.4,10,10.0,100,S 0.4,limegreen
If love is something you cherish,7,6_23.wav,Anchor_fullyIntelligible,0,If love is something you cherish,97,Anchor_fullyIntelligible_0,10,18.75,100,Full,coral
#,1,filter_4_Inf_1_11.wav,Anchor_Temporal_unIntelligible,4,She has always loved history,100,Anchor_Temporal_unIntelligible_4,10,0.0,0,T 4,lightsteelblue
